"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width"
"1",6.3,3.3,6,2.5
"2",5.8,2.7,5.1,1.9
"3",7.1,3,5.9,2.1
"4",6.3,2.9,5.6,1.8
"5",6.5,3,5.8,2.2
"6",7.6,3,6.6,2.1
"7",4.9,2.5,4.5,1.7
"8",7.3,2.9,6.3,1.8
"9",6.7,2.5,5.8,1.8
"10",7.2,3.6,6.1,2.5
"11",6.5,3.2,5.1,2
"12",6.4,2.7,5.3,1.9
"13",6.8,3,5.5,2.1
"14",5.7,2.5,5,2
"15",5.8,2.8,5.1,2.4
"16",6.4,3.2,5.3,2.3
"17",6.5,3,5.5,1.8
"18",7.7,3.8,6.7,2.2
"19",7.7,2.6,6.9,2.3
"20",6,2.2,5,1.5
"21",6.9,3.2,5.7,2.3
"22",5.6,2.8,4.9,2
"23",7.7,2.8,6.7,2
"24",6.3,2.7,4.9,1.8
"25",6.7,3.3,5.7,2.1
"26",7.2,3.2,6,1.8
"27",6.2,2.8,4.8,1.8
"28",6.1,3,4.9,1.8
"29",6.4,2.8,5.6,2.1
"30",7.2,3,5.8,1.6
"31",7.4,2.8,6.1,1.9
"32",7.9,3.8,6.4,2
"33",6.4,2.8,5.6,2.2
"34",6.3,2.8,5.1,1.5
"35",6.1,2.6,5.6,1.4
"36",7.7,3,6.1,2.3
"37",6.3,3.4,5.6,2.4
"38",6.4,3.1,5.5,1.8
"39",6,3,4.8,1.8
"40",6.9,3.1,5.4,2.1
"41",6.7,3.1,5.6,2.4
"42",6.9,3.1,5.1,2.3
"43",5.8,2.7,5.1,1.9
"44",6.8,3.2,5.9,2.3
"45",6.7,3.3,5.7,2.5
"46",6.7,3,5.2,2.3
"47",6.3,2.5,5,1.9
"48",6.5,3,5.2,2
"49",6.2,3.4,5.4,2.3
"50",5.9,3,5.1,1.8
